Aprilette,Daniels,59838096990,0,2,1,1,413,9/11/2018
Sheila-kathryn,Scally,20957536262,0,0,1,1,466,1/14/2019
Babette,Brittlebank,58404992436,1,2,1,3,416,11/26/2018
Hope,Goman,86162041712,0,1,1,4,409,10/20/2018
Bert,Beagley,85376674292,1,2,0,1,449,9/28/2018
Alie,Bartomieu,05700667605,1,1,0,0,488,7/3/2018
Merrilee,Lindwall,70673363886,0,2,1,0,463,4/15/2019
Malachi,Neeves,40099427216,0,0,0,1,450,1/30/2019
Wendie,Krates,49360857673,1,2,1,0,429,3/4/2019
Bibi,Purton,52273668907,0,1,0,0,461,4/3/2019
Gelya,Treadway,77755779772,0,0,0,0,491,9/21/2018
Briana,Weins,39856788521,0,1,0,4,475,12/4/2018
Meredeth,Pyott,96947597812,1,0,1,3,433,7/6/2018
Lynnea,Plose,81168033030,0,0,1,4,470,10/12/2018
Barry,Brognot,96786936454,1,3,1,3,435,5/16/2018
Bobbie,Rousby,88825189634,1,0,1,4,436,1/31/2019
Regine,Reignolds,43954515834,0,2,0,1,458,2/18/2019
Ashia,Cameron,43837099520,1,3,1,0,483,6/26/2018
Patrizia,Farnaby,62599010423,0,1,1,1,453,12/8/2018
Heindrick,Blackhurst,44033878361,1,0,0,2,434,6/14/2018
Jilleen,Harrell,93656576386,1,0,0,0,482,8/24/2018
Sile,Dickman,70468980692,0,0,1,2,414,3/31/2019
Ninnetta,Sterke,78570703500,1,3,0,3,407,12/2/2018
Wynn,Gann,08335959342,1,2,0,0,416,5/20/2018
Libbi,Gilvear,15662056188,0,0,1,0,450,4/3/2019
Molli,Hospital,38000086984,0,3,0,1,443,5/23/2018
Dugald,Breissan,36436508368,1,0,1,0,488,6/29/2018
Verine,Zywicki,66693775703,1,3,0,2,410,5/4/2019
Jayson,Grout,16840836960,0,2,0,4,487,10/30/2018
Jill,Penley,43856982103,0,0,0,1,491,3/27/2019
Leesa,MacCallam,16051459134,0,0,0,0,475,8/6/2018
Kaitlyn,MacPadene,33404177541,1,1,1,3,472,10/3/2018
Pearla,Sissel,63913270659,0,1,0,4,429,2/18/2019
Nicolina,Mayger,38447892986,0,3,0,4,410,7/14/2018
Silvanus,Switsur,68848829133,0,0,1,2,410,4/14/2019
Phillie,Sabberton,13810431099,0,1,1,0,444,9/15/2018
Perry,Swane,78612891786,0,1,0,0,440,9/21/2018
