Donny,Iacovazzi,68716238050,0,1,0,2
Ferdinande,Caw,24313975986,1,3,1,1
Xerxes,Ewings,80470922119,1,2,1,0
Eunice,Marcoolyn,31995790396,0,1,0,2
Carolus,Rosingdall,47200456615,0,2,1,2
Alyss,Lasty,86345604881,0,3,1,1
Krissy,Mitroshinov,57416897086,0,1,0,1
Mariquilla,Pannaman,71783971707,1,3,1,1
Kenny,Crush,25761197481,1,2,0,1
Galvan,Twinborough,88535607497,1,3,0,2
Ertha,Starton,61779373770,1,0,0,1
Letty,Gonnely,36258233193,1,2,1,2
Loreen,Tudhope,55770567132,0,1,0,0
Thaxter,Ramelet,82965012713,1,3,0,2
Ferris,Chubb,37379416657,1,0,1,2
Pincus,Peddar,70461985560,0,1,1,0
Gill,Durrand,67024676835,0,2,0,2
Conni,Wiltshear,12059903745,1,1,1,2
Malia,Blaydes,76256460501,0,0,1,1
Nancee,Phythean,80508490669,1,2,0,2
Sabrina,Blaxter,41284452052,0,2,0,2
Shelby,Marrion,59488759728,1,3,1,1
Lura,Josland,65437379073,0,3,1,1
Wiatt,Luscombe,24462159418,1,2,0,1
Joshia,Inchboard,32398095965,0,0,1,1
Carol,Dudin,59332784963,0,0,1,0
Goober,Wallace,27210181283,0,2,0,2
Dacia,Alexandersen,76339529315,1,2,0,1
Tanney,Gerlack,18154522110,1,2,0,1
Trudie,Conrart,20933851423,0,1,1,0
Immanuel,Livingstone,18181890793,0,2,1,1
Ammamaria,Benardet,75763532201,0,1,0,2
Roy,Bukowski,65220939146,0,3,0,0
Borg,Bensley,74789571966,0,3,1,2
Wakefield,O'Keeffe,35049590073,1,0,0,1
Katey,Tynewell,69536033420,1,2,1,2
Banky,Tessington,35739310679,0,0,1,2
Susannah,Dax,76620162353,1,3,1,1
Helenelizabeth,Bonfield,88442634706,1,3,0,0
Gabbi,Ashlee,68296373000,1,3,1,1
Harriet,Vasyutochkin,15334896376,1,1,0,1
Kingsly,Bartels-Ellis,84010607141,1,2,0,1
Oswald,De Paoli,06567260067,0,1,1,2
Dyane,Kubis,71178299827,0,1,0,2
Giavani,Marco,28097504897,0,3,0,1
Nefen,Bigglestone,52749360794,0,1,0,0
Hilary,Risely,92594918112,0,2,0,0
Bobbye,Yann,26318734644,0,1,0,1
Rhys,Jickles,96824325023,1,3,1,0
Georgine,Prinett,45496434635,0,0,0,1
Sim,Remer,58803175233,1,0,0,0
Melisande,Carlaw,38745185290,0,2,1,1
Porter,Sleite,15796978474,1,0,1,2
Elianore,Roll,53279273305,0,1,0,2
Clay,Tatton,91227021086,1,3,0,1
Clarice,Stickel,22604436093,1,0,0,1
Richardo,Hollow,83422261249,1,3,0,2
Powell,Treadwell,01706393435,0,0,1,0
Gustie,Brandli,67602342600,1,0,1,0
Yasmin,Penton,43303849546,0,2,1,0
Jazmin,Fetteplace,44149586487,1,0,0,2
Christiano,Eadmeads,39766499629,1,1,1,0
Sapphira,Skeete,50516891530,1,0,0,2
Fairlie,Verne,09343902609,0,0,1,2
Louise,Wardesworth,13031034327,0,3,1,2
Doria,Chippindall,86680927714,0,3,1,1
Theobald,Sotheron,23816460958,1,3,1,0
Marvin,Chasemoore,02657607191,1,2,0,2
Hersch,Oki,75051503063,0,2,1,2
Tome,Sinclair,47876835397,1,1,1,1
Even,Liddicoat,52799340135,1,1,0,0
Waylon,Matula,34800663508,1,0,0,1
Hillard,Georghiou,68943180471,0,2,1,1
Ag,Couvet,43671839808,0,3,0,0
Mart,Farrear,16186920754,1,0,1,1
Hillel,Druitt,31139872101,0,3,0,2
Rori,O'Bradane,89202695883,0,0,0,2
Davidson,Londors,26224387939,1,3,0,0
Jeannine,Roblin,96255990400,1,3,0,2
Odell,Revitt,87698348154,0,3,0,0
Cornall,Dudley,40151393576,0,3,0,2
Parke,Bonick,09963479107,0,0,0,2
Shayla,Gantlett,66341769798,1,1,1,0
Hermione,Madeley,44636538268,1,1,1,1
Thedrick,Lahy,51844137758,1,1,1,2
Amelita,Beran,43083881427,1,3,0,0
Emmi,Rennebeck,20261154220,0,3,0,2
Ariana,Gauche,77854968150,1,0,1,0
Putnam,Lage,24485950188,1,1,1,1
Nessy,Withrop,10071901121,1,1,1,0
Oona,O'Kelly,94674939602,0,2,1,1
Una,Togher,28232915391,1,0,1,1
Elmira,Laidlow,91245120428,1,0,1,1
Angelo,Roland,49502424871,0,2,1,2
Melinda,Treeby,73444621398,1,3,0,0
Spence,Rizon,75475122564,0,2,1,2
Georgeanne,Dat,86588043197,0,2,1,1
Mala,Lomb,42357537234,0,3,0,1
Winnie,Bernardoux,88911113803,1,3,1,0
Thor,Benedikt,37681130011,0,2,1,2
Karla,Burdytt,16701285415,0,1,0,1
Lynn,Brimicombe,48896087461,1,3,1,0
Vonny,Lonergan,09814313906,0,1,0,2
Veronica,Nowaczyk,10939081597,1,1,1,0
Sharleen,Mauvin,02597429361,0,2,0,2
Claudian,Bemrose,85977843312,1,0,0,2
Isis,Dziwisz,08582867247,1,2,0,2
Wilona,Heathcoat,47451517968,1,3,0,0
Alika,Jayes,15409602743,0,2,1,1
Gates,Morefield,27832492699,1,0,1,1
Kelley,Slyne,48499161029,1,1,1,1
Fernando,McIntosh,31939412159,1,3,1,0
Hillard,Wapples,54930034019,0,0,1,0
Thibaut,Tieraney,65622406707,1,3,1,0
Ralph,Robotham,02366104934,0,3,0,0
Korie,Baverstock,33159099829,0,3,0,2
Eloisa,Kneel,14491623360,0,2,1,2
Tanny,VanBrugh,96827666149,0,0,1,0
Conrade,Scammell,78987007212,1,0,0,0
Irene,Trowsdall,80312830907,1,2,0,1
Hunfredo,Waplinton,87309806700,0,0,0,0
Eddy,Joanic,13160700229,1,2,1,1
Tommy,Marvel,01417516463,1,0,0,1
Margit,Purcell,04403734258,1,1,1,0
Devonna,Cuckson,17739003226,0,1,1,2
Dorisa,Camillo,68607322272,1,2,0,2
Lesley,Udie,66093126857,0,0,0,0
Sherrie,Marusic,71431562393,0,2,1,0
Lizette,Meagh,05814784065,0,3,0,2
Cherin,Knoller,67713905323,1,1,1,2
Kaleb,Radloff,88273683904,0,3,1,1
Chiarra,Screen,28957072369,0,3,0,1
Merola,Piquard,82256450062,1,2,0,1
Ellary,Stapylton,34850221984,1,1,1,0
Onofredo,Bonifazio,15077473195,1,1,0,1
Terrell,Renak,87733198576,0,1,0,2
Dionne,Neath,09847862237,0,2,0,1
Peri,Geldard,21023196542,1,1,0,1
Marmaduke,Zum Felde,74160146292,0,1,0,2
Jarrid,Schiefersten,04182223016,0,3,0,0
Quintina,Rockhall,33196479221,0,3,1,0
Elka,Verni,37516488563,0,1,0,2
Fan,Shevell,76300313128,0,0,1,1
Elbertina,Patchett,38982266732,0,0,0,0
Dora,Moscone,64358624139,1,3,1,1
Ugo,Edsall,42729882699,1,3,0,0
Tine,Ingham,31984097402,1,2,0,2
